LOCATION_NAME,FLAG_TSUNAMI,YEAR,MONTH,DAY,LATITUDE,LONGITUDE,FOCAL_DEPTH,EQ_PRIMARY,MAXIMUM_WATER_HEIGHT, Batyh, DevW5, DevW11, DevW25, DevW75
 TIMOR:PANTAR/MOUNTSIRUNG ,0,1989,3,8,1.031,126.189,32,5.6,0.1,895,458,984,1577,2683
 TIMOR:PANTAR/MOUNTSIRUNG ,0,1989,7,14,-8.081,125.129,10,6.2,0.1,1824,552,1308,3377,4562
 TIMOR:PANTAR/MOUNTSIRUNG ,0,1989,8,1,-4.511,139.022,14,5.8,0.1,0,0,0,0,0
 TIMOR:PANTAR/MOUNTSIRUNG ,0,1989,9,4,-4.219,136.667,9,6,0.1,0,0,0,0,0
 TIMOR:PANTAR/MOUNTSIRUNG ,0,1990,4,18,1.186,122.857,26,7.6,0.1,1251,315,630,1515,2725
 TIMOR:PANTAR/MOUNTSIRUNG ,0,1990,7,6,-6.904,108.12,14,4.8,0.1,0,0,0,0,0
 TIMOR:PANTAR/MOUNTSIRUNG ,0,1990,11,15,3.908,97.457,48,6.8,0.1,0,0,0,0,0
 TIMOR:PANTAR/MOUNTSIRUNG ,0,1991,6,20,1.196,122.787,31,7.5,0.1,1626,291,734,1659,2946
 TIMOR:PANTAR/MOUNTSIRUNG ,0,1991,7,4,-8.099,124.681,29,6.5,0.1,403,354,677,1587,4452
 TIMOR:PANTAR/MOUNTSIRUNG ,0,1992,2,4,-7.138,109.067,58,4.4,0.1,0,0,0,0,3002
 KAU ,0,1994,2,15,-4.967,104.302,23,6.9,2,0,0,0,0,0
 HALMAHERA ,0,1995,3,19,-4.183,135.109,33,6.9,3,0,0,0,0,37
 TIMOR/DILI/MALIANA/MAUBARA ,0,1995,10,6,-2.045,101.436,33,6.8,4,0,0,0,0,832
 NEWGUINEA:IRIANJAYA:BIAK/SUPIORI ,0,1997,8,20,4.358,96.494,33,6,7.7,0,0,0,0,0
 NEWGUINEA:IRIANJAYA:BIAK/SUPIORI ,0,1997,9,28,-3.776,119.727,33,5.9,7.7,0,0,0,0,95
 NEWGUINEA:IRIANJAYA:BIAK/SUPIORI ,0,1997,11,25,1.241,122.536,24,7,7.7,2240,339,970,2076,3135
 NEWGUINEA:IRIANJAYA:BIAK/SUPIORI ,0,1998,9,28,-8.194,112.413,152,6.6,7.7,0,0,0,296,421
 MANGOLE/MANADO/TALIABU ,0,1999,12,21,-6.845,105.555,56,6.5,2.75,0,0,18,49,771
 SULAWESI:LUWUK/BANGGAI/PELENG/ ,0,2000,6,4,-4.721,102.087,33,7.9,6,1796,45,126,316,1261
 SULAWESI:LUWUK/BANGGAI/PELENG/ ,0,2000,6,7,-4.612,101.905,33,6.7,6,1955,45,129,230,948
 SULAWESI:LUWUK/BANGGAI/PELENG/ ,0,2000,7,12,-6.675,106.845,33,5.4,6,0,0,0,0,0
 SULAWESI:LUWUK/BANGGAI/PELENG/ ,0,2001,10,19,-4.102,123.907,33,7.5,6,4917,116,339,893,1139
 SULAWESI:LUWUK/BANGGAI/PELENG/ ,0,2002,8,15,-1.196,121.333,10,6.2,6,0,0,0,855,3247
 SULAWESI:LUWUK/BANGGAI/PELENG/ ,0,2002,9,20,-1.68,134.234,10,6.4,6,156,104,227,369,804
