LOCATION_NAME,FLAG_TSUNAMI,YEAR,MONTH,DAY,LATITUDE,LONGITUDE,FOCAL_DEPTH,EQ_PRIMARY,MAXIMUM_WATER_HEIGHT, Batyh, DevW5, DevW11, DevW25, DevW75
 SUMATRA:PADANG ,1,2008,2,25,-2.486,99.972,25,6.5,0.12,47,48,93,199,1344
 MINAHASSAPENINSULA ,1,2008,11,16,1.271,122.091,30,7.3,0.13,894,353,1015,1742,2544
 PAPUANEWGUINEA:NEARNORTHCOAST ,1,2009,1,3,-0.414,132.885,17,7.6,0.39,44,74,345,973,2903
 PAPUANEWGUINEA:NEARNORTHCOAST ,1,2009,1,3,-0.691,133.305,23,7.3,0.39,0,0,58,247,2294
 KEPULAUANTALAUD ,1,2009,2,11,3.884,126.397,22,7.2,0.13,3439,138,367,679,3200
 SUMATRA:PADANG ,1,2009,8,16,-1.479,99.49,20,6.7,0.18,1610,58,151,354,1717
 JAVA ,1,2009,9,2,-7.782,107.297,46,7,0.4,1572,38,97,251,2022
 SUMATRA:PADANG ,1,2009,9,30,-0.72,99.867,81,7.5,0.27,248,136,328,536,965
 SUMATRA ,1,2010,4,6,2.383,97.048,31,7.8,0.44,128,259,331,871,1248
 SUMATRA ,1,2010,10,25,-3.487,100.082,20,7.8,16.9,2373,212,571,1215,2807
 SUMATRA ,1,2012,4,11,2.327,93.063,20,8.6,16.9,4316,13,42,88,215
 SUMATRA ,1,2012,4,11,0.802,92.463,25,8.2,16.9,4417,8,22,45,90
 N.MOLUCCASISLANDS ,1,2014,11,15,1.893,126.522,45,7.1,0.09,1772,84,273,671,1784
 SUMATRA: ,1,2016,3,2,-4.952,94.33,24,7.8,0.21,4983,2,3,8,121
 LOMBOKISLAND ,1,2018,8,5,-8.287,116.452,31,6.9,0.14,0,0,0,56,3668
 SULAWESI ,1,2018,9,28,-0.178,119.84,10,7.5,10.73,0,0,13,171,1200
 MOLUCCAISLANDS:N ,1,2019,11,14,1.6,126.416,33,7.1,0.11,1504,32,81,331,1732
